architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,pct_total
attention_microbench,self,bart_large,1024,16,16,64,1,4096,1,512,,512,float16,cuda,attn.apply_causal_mask,5,1.111369812861085,1.0374670382589102,1.2291350867599249,0.08380985901416783,5.556849064305425,22.926231416727102
attention_microbench,self,bart_large,1024,16,16,64,1,4096,1,512,,512,float16,cuda,attn.k_proj,5,0.39554499089717865,0.35341689363121986,0.547484029084444,0.07603855098793705,1.9777249544858932,8.159620580021484
attention_microbench,self,bart_large,1024,16,16,64,1,4096,1,512,,512,float16,cuda,attn.matmul_qk,5,0.9937775321304798,0.9074918925762177,1.120053930208087,0.09963378599227575,4.968887660652399,20.50044316006193
attention_microbench,self,bart_large,1024,16,16,64,1,4096,1,512,,512,float16,cuda,attn.out_projection,5,0.39843148551881313,0.3528730012476444,0.5638350266963243,0.08274289280547258,1.9921574275940657,8.219165515391257
attention_microbench,self,bart_large,1024,16,16,64,1,4096,1,512,,512,float16,cuda,attn.q_proj,5,0.43701427057385445,0.3523931372910738,0.5622340831905603,0.09752942147454084,2.1850713528692722,9.015082273825186
attention_microbench,self,bart_large,1024,16,16,64,1,4096,1,512,,512,float16,cuda,attn.softmax,5,0.6408280692994595,0.5549071356654167,0.7694850210100412,0.10195572817229925,3.2041403464972973,13.219517432520215
attention_microbench,self,bart_large,1024,16,16,64,1,4096,1,512,,512,float16,cuda,attn.v_proj,5,0.4294244106858969,0.3466010093688965,0.5485399160534143,0.09624662684189329,2.1471220534294844,8.858512532414007
attention_microbench,self,bart_large,1024,16,16,64,1,4096,1,512,,512,float16,cuda,attn.weighted_sum,5,0.4411999136209488,0.3552730195224285,0.5683791823685169,0.0987342201142919,2.205999568104744,9.101427089038818
