architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,pct_total
attention_microbench,cross,gpt3_2p7b,2560,32,32,80,1,10240,1,512,512,512,float16,cuda,cross_attn.k_proj,5,1.1333862319588661,1.1126140598207712,1.1758720502257347,0.02256904601927331,5.666931159794331,15.411376501189162
attention_microbench,cross,gpt3_2p7b,2560,32,32,80,1,10240,1,512,512,512,float16,cuda,cross_attn.matmul_qk,5,1.3630315195769072,1.3470270205289125,1.3777439016848803,0.011183175631490922,6.815157597884536,18.534010153698492
attention_microbench,cross,gpt3_2p7b,2560,32,32,80,1,10240,1,512,512,512,float16,cuda,cross_attn.out_projection,5,1.1492826510220766,1.1318440083414316,1.163745066151023,0.012147236833522448,5.746413255110383,15.627530264395197
attention_microbench,cross,gpt3_2p7b,2560,32,32,80,1,10240,1,512,512,512,float16,cuda,cross_attn.q_proj,5,1.12764579243958,1.103110145777464,1.1810879223048687,0.028169545142039357,5.6382289621979,15.333320078568672
attention_microbench,cross,gpt3_2p7b,2560,32,32,80,1,10240,1,512,512,512,float16,cuda,cross_attn.softmax,5,0.7724108640104532,0.7679050322622061,0.7768329232931137,0.0031331074680090395,3.862054320052266,10.502963864577758
attention_microbench,cross,gpt3_2p7b,2560,32,32,80,1,10240,1,512,512,512,float16,cuda,cross_attn.v_proj,5,1.1324326507747173,1.109830103814602,1.1481621768325567,0.013217168426595705,5.662163253873587,15.398410048766348
attention_microbench,cross,gpt3_2p7b,2560,32,32,80,1,10240,1,512,512,512,float16,cuda,cross_attn.weighted_sum,5,0.6760283373296261,0.6620259955525398,0.6875279359519482,0.009545443638937497,3.3801416866481304,9.192389088804369
