architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,pct_total
attention_microbench,cross,bert_base,768,12,12,64,1,3072,1,1024,1024,1024,float16,cuda,cross_attn.k_proj,5,0.37999642081558704,0.36374200135469437,0.39797904901206493,0.012247782379250604,1.8999821040779352,6.546908101891249
attention_microbench,cross,bert_base,768,12,12,64,1,3072,1,1024,1024,1024,float16,cuda,cross_attn.matmul_qk,5,2.414052374660969,2.3885120172053576,2.456089947372675,0.023144666942643628,12.070261873304844,41.59138924555212
attention_microbench,cross,bert_base,768,12,12,64,1,3072,1,1024,1024,1024,float16,cuda,cross_attn.out_projection,5,0.39861220866441727,0.38469978608191013,0.40876097045838833,0.010860597337249233,1.9930610433220863,6.867637049887688
attention_microbench,cross,bert_base,768,12,12,64,1,3072,1,1024,1024,1024,float16,cuda,cross_attn.q_proj,5,0.3888085950165987,0.3654700703918934,0.45365397818386555,0.03295203302239674,1.9440429750829935,6.698731886304941
attention_microbench,cross,bert_base,768,12,12,64,1,3072,1,1024,1024,1024,float16,cuda,cross_attn.softmax,5,1.1095090303570032,1.1007289867848158,1.1207908391952515,0.008099551682456324,5.547545151785016,19.11558441623041
attention_microbench,cross,bert_base,768,12,12,64,1,3072,1,1024,1024,1024,float16,cuda,cross_attn.v_proj,5,0.37204823456704617,0.35750214010477066,0.39535481482744217,0.014646635408375866,1.8602411728352308,6.409969851698714
attention_microbench,cross,bert_base,768,12,12,64,1,3072,1,1024,1024,1024,float16,cuda,cross_attn.weighted_sum,5,0.7411850616335869,0.7312591187655926,0.7503300439566374,0.006932532474379845,3.7059253081679344,12.769779448434878
