architecture,model_family,shape_name,d_model,num_heads,num_kv_heads,head_dim,num_layers,d_ff,batch_size,seq_len,encoder_seq_len,decoder_seq_len,dtype,device,operation_key,count,avg_ms,min_ms,max_ms,std_ms,total_ms,pct_total
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,attn.apply_causal_mask,160,0.5962633775197901,0.5683489143848419,0.6817569956183434,0.021751793058155597,95.40214040316641,3.926976545238012
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,attn.cache_concat,160,2.58522424264811,2.568724099546671,2.6629320345818996,0.010354352865854602,413.63587882369757,17.026225905888175
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,attn.k_proj,160,0.8371344927581958,0.8172770030796528,0.8983640000224113,0.01132210532793759,133.94151884131134,5.513348030773608
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,attn.matmul_qk,160,0.5712221391149797,0.5551332142204046,0.6444451864808798,0.012218769157034553,91.39554225839674,3.7620555395434434
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,attn.out_projection,160,0.8464962607831694,0.8227480575442314,0.9140120819211006,0.015099855204756915,135.4394017253071,5.57500441424789
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,attn.q_proj,160,0.8336917264387012,0.816059997305274,0.9009868372231722,0.013697618114882371,133.39067623019218,5.490674052969324
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,attn.softmax,160,0.1912697232910432,0.17734291031956673,0.2729271072894335,0.01487431239535186,30.60315572656691,1.2596978877059437
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,attn.v_proj,160,0.8358395891264081,0.8155491668730974,0.9072280954569578,0.012325743835558785,133.7343342602253,5.5048198259867815
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,attn.weighted_sum,160,0.5361862800782546,0.5164460744708776,0.8117719553411007,0.02354791858108849,85.78980481252074,3.5313101980271133
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,block.norm1,160,0.7836720367777161,0.7466201204806566,0.8633879479020834,0.025440482434465072,125.38752588443458,5.161245556260665
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,block.norm2,160,0.7937433023471385,0.7503319066017866,0.8680920582264662,0.022491820583722625,126.99892837554216,5.227574673833666
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,ff.swiglu_act,160,0.30461610440397635,0.28073485009372234,0.37215789780020714,0.017591138423932635,48.738576704636216,2.0061944811569212
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,ff.w1_gate,160,1.7570788651937619,1.7325039952993393,2.019478939473629,0.027452586504346926,281.1326184310019,11.572079976554175
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,ff.w2_up,160,1.7579872670467012,1.7385841347277164,1.8324400298297405,0.013780206548864155,281.2779627274722,11.57806268973871
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,ff.w3_down,160,1.7881483770906925,1.7643121536821127,1.8601519986987114,0.013160360866685135,286.1037403345108,11.776703049329075
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,model.final_norm,5,0.7768088020384312,0.7564439438283443,0.7942360825836658,0.0156649458098463,3.884044010192156,0.1598763891904311
decoder,decoder,llama_7b,4096,32,32,128,32,11008,1,2048,,2048,float16,cuda,model.output_head,5,4.5097071677446365,4.502634983509779,4.523146897554398,0.007953587293782675,22.548535838723183,0.9281507835560653
